id,label,link,organization_type,domains,activities,intervention_focuses,location_hints,focuses_on_gcbrs,category_trail,description,created_at,notion_url
20,"1Day Sooner",https://www.1daysooner.org,"International non-profit organization",Governance,"Outreach & Advocacy","Vaccines ; Therapeutics ; Indoor air quality","United Kingdom ; USA",yes,"Response > Medical countermeasures","1Day Sooner is a nonprofit that advocates for people who participate and want to participate in high-impact medical studies, particularly human challenge trials, where healthy volunteers are infected with a disease to test a vaccine, treatment, or to learn other important information.",2024-03-01T13:30:00+00:00,https://notion.so/97607f155f0047a5a1cfbd22e3953de0
138,"80,000 Hours",https://80000hours.org,"International non-profit organization","Technical ; Governance","Education & Career",,"United Kingdom ; London ; Remote",yes,"Transversal > Education","80,000 Hours provides research and support to help students and recent graduates move into careers that effectively tackle the world’s most pressing problems. They offer online guides, a podcast, a job board, and individualised career advice.",2024-05-10T09:16:00+00:00,https://notion.so/f4ec1b5643434ea996c95c2e85d502a5
240,Aclid,https://www.aclid.bio,"For-profit company",Technical,"Technology development","Synthetic biology ; DNA synthesis ; Digital detection","USA ; New York City",yes,Detection,"Aclid was inspired by a vision to make genetic engineering safer and more accessible and provides an end-to-end solution for gene synthesis compliance, incl. biosafety and biosecurity software for providers of synthetic DNA/RNA and researchers working with recombinant products. They also work with the US government on advancing biosurveillance capabilities through in-field, real-time sequencing.",2024-11-09T15:11:00+00:00,https://notion.so/d4a3dfed99554fd79566accd37ee213c
202,"Active Site",https://activesite.bio,"National non-profit organization",Technical,"Research ; Technology development",Therapeutics,"USA ; Cambridge MA",yes,"Response > Medical countermeasures","Active Site (formerly Panoplia Laboratories) is a nonprofit organization developing broad-spectrum antivirals that can be immediately deployed at the beginning of the next pandemic.",2024-10-09T14:33:00+00:00,https://notion.so/cfc5a461a2d4406cbb3f0cc05690f083
263,"Advanced Research + Invention Agency (ARIA)",https://www.aria.org.uk/opportunity-spaces/sculpting-innate-immunity,Government,Technical,"Funding ; Research","Vaccines ; Therapeutics","United Kingdom ; London",yes,"Response > Medical countermeasures","ARIA is a UK government body funding high-risk, high-reward research to drive technological breakthroughs. Its “Sculpting Innate Immunity” opportunity space seeks to modulate the innate immune system to create a new therapeutic paradigm against diseases, including for broad-spectrum viral defence.",2025-11-03T17:03:00+00:00,https://notion.so/2a04061a75b7807ea239db9fd5e89748
154,"Advanced Research Projects Agency for Health (ARPA-H)",https://arpa-h.gov/,Government,Technical,"Research ; Funding","Vaccines ; Therapeutics ; Indoor air quality ; Cyberbiosecurity ; Dual-use research of concern","USA ; Remote",yes,Response,"The Advanced Research Projects Agency for Health (ARPA-H) is a research funding agency that supports transformative biomedical and health breakthroughs – ranging from the molecular to the societal – to provide health solutions for all.",2024-05-24T07:43:00+00:00,https://notion.so/e29af53e4e1a4e5f9f91367450da8aeb
87,"Alliance to Feed the Earth in Disasters (ALLFED)",https://allfed.info/,"Research institute / lab / network","Technical ; Governance","Research ; Policy development","Supply chain disruption","Global ; Remote",yes,Response,"ALLFED seeks to identify various resilient food solutions and to help governments and companies implement these solutions to feed everyone in the event of a global catastrophe.",2024-04-19T07:01:00+00:00,https://notion.so/96ba39dbe0b1436bb8f983156418b84f
254,"Argonne National Laboratory (ANL)",https://www.anl.gov,"Research institute / lab / network",Technical,"Research ; Technology development","Biological weapons ; Pathogen surveillance ; Therapeutics ; Epidemiology","USA ; Chicago IL",no,Response,"Argonne National Laboratory (ANL), established in 1946, is a leading U.S. research institution focusing on scientific discovery and technological innovation. In biosecurity, ANL employs computational and experimental tools to detect engineered biological systems and monitor disease spread.",2024-11-21T17:50:00+00:00,https://notion.so/a51f3db659bf42c4af7886fe61eced80
216,"Asia Centre for Health Security (ACHS)",https://asia-chs.org,"International non-profit organization","Technical ; Governance","Research ; Technology development ; Policy development ; Outreach & Advocacy ; Education & Career ; Coordination","Dual-use research of concern ; Pathogen surveillance ; Lab biosafety","Middle East ; East Asia & Pacific ; Central Asia ; South Asia ; Singapore",yes,Prevention,"Asia Centre for Health Security works to improve Asia’s readiness for catastrophic biological threats through scientific evidence, gaining knowledge and expertise, and building strategic partnerships, contributing to effective policy-making and biosecurity practices in Asia. They run the ACHS Fellowship Program.",2024-10-12T08:40:00+00:00,https://notion.so/90211f09e38a40fcb804f3d728dd8c77
182,"Asimov Press",https://press.asimov.com,Media,"Technical ; Governance","Outreach & Advocacy","Synthetic biology","USA ; Boston MA ; Remote",no,"Transversal > Information","Asimov Press is a publisher devoted to scientific progress, with a focus on biology and metascience. We publish three types of articles: essays, fiction, and moonshots.",2024-06-23T16:42:00+00:00,https://notion.so/2335894487354d05a81eab43e32beadf
88,"Association for Long Term Existence and Resilience (ALTER)",https://alter.org.il,"National non-profit organization",Technical,"Research ; Outreach & Advocacy","Pathogen surveillance ; Crisis management ; Epidemiology","Middle East ; Israel",yes,"Transversal > Information","ALTER investigates, demonstrates, and fosters useful ways to improve the future in the short term, and to safeguard and improve the long-term trajectory of humanity.",2024-04-19T07:15:00+00:00,https://notion.so/d5d13f0eb68645b9a7af63b49e8c10dc
204,"Australia Group",https://www.dfat.gov.au/publications/minisite/theaustraliagroupnet/site/en/index.html,"Intergovernmental agency",Governance,"Policy development ; Outreach & Advocacy ; Coordination","Dual-use research of concern ; Biological weapons","Australia ; Global ; East Asia & Pacific",yes,Prevention,"The Australia Group is an informal forum of countries which, through the harmonisation of export controls, seeks to ensure that exports do not contribute to the development of chemical or biological weapons.",2024-10-12T08:13:00+00:00,https://notion.so/eac6b0048d1b4007b8bf357cce9cab7d
66,Battelle,https://www.battelle.org,"International non-profit organization",Technical,"Research ; Technology development ; Policy development","Biological weapons ; DNA synthesis ; Vaccines ; Therapeutics ; Rapid diagnostics ; Pathogen surveillance ; Epidemiology","USA ; United Kingdom",no,"Response > Medical countermeasures","Battelle is an independent nonprofit organization (90 years old) that advances science and technology to have the greatest impact on our society and economy.",2024-03-29T09:51:00+00:00,https://notion.so/d17b135379eb4b9da9f494e915f7b6a1
93,"Bill & Melinda Gates Foundation",https://www.gatesfoundation.org/,"International non-profit organization","Technical ; Governance",Funding,"Vaccines ; Therapeutics ; Rapid diagnostics","Global ; USA ; Seattle WA",no,"Transversal > Financing","The foundation’s mission is to create a world where every person has the opportunity to live a healthy, productive life.",2024-04-19T07:21:00+00:00,https://notion.so/99ae4fb67cd24f61b63a009a1a92f548
59,BioNTech,https://www.biontech.com,"For-profit company",Technical,"Technology development ; Research","Vaccines ; Therapeutics","Global ; Europe (excl. UK) ; Sub-Saharan Africa ; East Asia & Pacific ; South Asia ; North Africa ; United Kingdom ; USA ; Germany",no,"Response > Medical countermeasures","BioNTech is a German biotechnology company that develops and manufactures active immunotherapies for patient-specific approaches to the treatment of diseases. Alongside Pfizer, they are responsible for the Pfizer–BioNTech COVID-19 mRNA vaccine.",2024-03-29T09:45:00+00:00,https://notion.so/bde210954df9446781d3f0ff5d9527af
158,"Biosafety Now",https://biosafetynow.org/,"International non-profit organization",Technical,"Outreach & Advocacy","Lab biosafety","Global ; Remote ; USA",no,"Prevention > Preventing production & release","Biosafety Now demands national- and international-level restrictions, regulations, and oversight to reduce the risks to the public posed by enhanced potential pandemic pathogens research.",2024-05-24T08:36:00+00:00,https://notion.so/f4297eead23645b0964461d401684772
196,"Biosecurity Central",https://www.biosecuritycentral.org,"National non-profit organization","Technical ; Governance","Outreach & Advocacy","Biological weapons ; Dual-use research of concern ; Lab biosafety","North America (excl. US) ; Canada ; USA ; Washington DC ; Remote",yes,"Transversal > Information","Biosecurity Central is a publicly available web-based library that helps users find relevant and reliable sources of information for key areas of biosecurity.",2024-08-22T11:28:00+00:00,https://notion.so/cb3680810d494768be48168372ef72c2
95,"Bipartisan Commission on Biodefense",https://biodefensecommission.org,"Think tank","Governance ; Technical","Policy development","Biological weapons ; AI x Bio ; DNA synthesis ; Crisis management ; Supply chain disruption","USA ; Washington DC",no,Response,"The Bipartisan Commission on Biodefense is a privately funded entity established in 2014 to provide for a comprehensive assessment of the state of U.S. biodefense efforts, and to issue recommendations that will foster change.",2024-04-19T07:25:00+00:00,https://notion.so/b564fc8d2e1241f39a5d246be1dd9cbe
32,"BlueDot Impact",https://bluedot.org/courses/biosecurity,"International non-profit organization","Technical ; Governance","Education & Career",,"Remote ; London ; United Kingdom ; Global",yes,"Transversal > Education","BlueDot Impact offers a 30 hours virtual Biosecurity course, either intensive or part-time, focusing on the technical and policy efforts to prevent, detect and respond to catastrophic pandemics.",2024-03-01T16:04:00+00:00,https://notion.so/35cb7fd5d0c2484ca1d1d6a759b00406
36,"Blueprint Biosecurity",https://blueprintbiosecurity.org,"National non-profit organization","Technical ; Governance","Research ; Policy development ; Coordination","Indoor air quality ; Personal protective equipment","USA ; Washington DC",yes,"Response > Non-medical countermeasures","Blueprint Biosecurity is a nonprofit dedicated to achieving breakthroughs in humanity’s capability to prevent, mitigate, and suppress pandemics.",2024-03-15T09:28:00+00:00,https://notion.so/3f0c02622e7c46d7a6b4667a2d0d314a
